,movie,year
760,The Muppet Movie,2008
761,The Other Boleyn Girl (2008 film),2008
762,The Other End of the Line,2008
763,The Reader (2008 film),2008
764,The Rocketeer,2008
765,The Stone Angel,2008
766,The Strangers (2008 film),2008
767,The Visitor (2007 drama film),2008
768,The Wizard of Oz (1939 film),2008
769,The Women (2008 film),2008
770,The Wrestler (2008 film),2008
771,The X-Files: I Want to Believe,2008
772,Tony Takitani,2008
773,Twilight (2008 film),2008
774,U2 3D,2008
775,WALL-E,2008
776,Wanted (2008 film),2008
777,Welcome Home Roscoe Jenkins,2008
778,What We Do Is Secret,2008
779,Where in the World Is Osama bin Laden?,2008
780,Wild West Comedy Show: 30 Days and 30 Nights – Hollywood to the Heartland,2008
781,Young Americans (1967 film),2008
782,Young@Heart,2008
783,$9.99,2009
784,(Untitled) (2009 film),2009
785,10 Rillington Place,2009
786,12 (2007 film),2009
787,9 (2009 animated film),2009
788,A Christmas Carol (2009 film),2009
789,A Town Called Panic,2009
790,Adam (2009 film),2009
791,Adoration (2008 film),2009
792,Adventures of Power,2009
793,After Last Season,2009
794,Alien Trespass,2009
795,American Casino,2009
796,American Pie Presents: The Book of Love,2009
797,American Violet,2009
798,Amreeka,2009
799,An American Affair,2009
800,Another Cinderella Story,2009
801,Anvil! The Story of Anvil,2009
802,Art & Copy,2009
803,Assassin's Creed: Lineage,2009
804,Avatar (2009 film),2009
805,Barbie Presents: Thumbelina,2009
806,Barney & Friends,2009
807,Bart Got a Room,2009
808,Beyond a Reasonable Doubt (2009 film),2009
809,Big Fan,2009
810,Billu,2009
811,Blind Date (2007 film),2009
812,Blood: The Last Vampire (2009 film),2009
813,Bob the Builder,2009
814,Born on the Fourth of July,2009
815,Brief Interviews with Hideous Men,2009
816,Brothers (2009 film),2009
817,Brothers at War,2009
818,Bull Durham,2009
819,C Me Dance,2009
820,Capitalism: A Love Story,2009
821,Care Bears: Oopsy Does It!,2009
822,Cargo 200,2009
823,Chandni Chowk to China,2009
824,Cherry Blossoms,2009
825,Cold Souls,2009
826,Crude (2009 film),2009
827,Dare,2009
828,Defamation,2009
829,Delhi-6,2009
830,Departures (2008 film),2009
831,Disgrace,2009
832,Dragonball Evolution,2009
833,Earth (2007 film),2009
834,Earth Days,2009
835,Easy Virtue (2008 film),2009
836,Every Little Step,2009
837,Everybody's Fine (2009 film),2009
838,Examined Life,2009
839,Fall Down Dead,2009
840,Fame (2009 film),2009
841,Fantasia 2000,2009
842,Fast & Furious (2009 film),2009
843,Fighting (2009 film),2009
844,Fired Up,2009
845,"Food, Inc.",2009
846,Free Style,2009
847,Friday the 13th (2009 film),2009
848,From Mexico with Love,2009
849,Fuel,2009
850,Gamer (2009 film),2009
851,Gigantic,2009
852,Gooby,2009
853,Good Hair,2009
854,Grace (2009 film),2009
855,Halloween II (2009 film),2009
856,Halloweenight,2009
857,Hero of the Rails,2009
858,Homecoming (2009 film),2009
859,Humpday,2009
860,I Hate Valentine's Day,2009
861,I Sell the Dead,2009
862,In a Dream,2009
863,Is Anybody There?,2009
864,It Might Get Loud,2009
865,Jackboots on Whitehall,2009
866,Janky Promoters,2009
867,Jerichow,2009
868,Jonas Brothers: The 3D Concert Experience,2009
869,Julia (2008 film),2009
870,Lemon Tree,2009
871,Lesbian Vampire Killers,2009
872,Let Them Chirp Awhile,2009
873,Lifeforce,2009
874,Los Bandoleros,2009
875,Love N' Dancing,2009
876,Love the Beast,2009
877,Luck by Chance,2009
878,Lymelife,2009
879,Made for Each Other (2009 film),2009
880,Make the Yuletide Gay,2009
881,Martha Speaks (TV series),2009
882,Michael Jackson's This Is It,2009
883,More than a Game,2009
884,Motherhood (2009 film),2009
885,My Bloody Valentine 3D,2009
886,My Little Pony: A Very Pony Place,2009
887,My Little Pony: Twinkle Wish Adventure,2009
888,"My Son, My Son, What Have Ye Done?",2009
889,Máncora,2009
890,Nativity!,2009
891,Night of the Demons (2009 film),2009
892,Nine (2009 live-action film),2009
893,No Impact Man,2009
894,Not Easily Broken,2009
895,Not Forgotten,2009
896,Notorious (2009 film),2009
897,O' Horten,2009
898,Obsessed (2009 film),2009
899,Olivia (TV series),2009
900,Orphan (2009 film),2009
901,Outrage (2009 film),2009
902,Paris (2008 film),2009
903,Paris 36,2009
904,Peter and Vandy,2009
905,Phoebe in Wonderland,2009
906,Play the Game (2009 film),2009
907,Possession (2009 film),2009
908,Pressure Cooker,2009
909,Public Enemies (2009 film),2009
910,Push (2009 film),2009
911,Rudo y Cursi,2009
912,Sesame Street,2009
913,Severed Ways,2009
914,Sex Positive,2009
915,Sherlock Holmes (2009 film),2009
916,Sherman's Way,2009
917,Shorts (2009 film),2009
918,Shrink,2009
919,Sin Nombre (2009 film),2009
920,Skin (2008 film),2009
921,Sleep Dealer,2009
922,Soul Power,2009
923,Spinning into Butter,2009
924,St Trinian's,2009
925,Sugar (2008 film),2009
926,Summer Hours,2009
927,Super Capers,2009
928,Surveillance (2008 film),2009
929,Tenderness (2009 film),2009
930,Tennessee,2009
931,That Evening Sun,2009
932,The Adventures of the Elektronic,2009
933,The Age of Stupid,2009
934,The Answer Man,2009
935,The Boat That Rocked,2009
936,The Box (2009 film),2009
937,The Cake Eaters,2009
938,The Class (2008 film),2009
939,The Collector (2009 film),2009
940,The Cove,2009
941,The Cross (2009 film),2009
942,The Cruel Sea (1953 film),2009
943,The Dream Catcher,2009
944,The Escapist (2008 film),2009
945,The Flying Scissors,2009
946,The Garden (2008 film),2009
947,The Girl from Monaco,2009
948,The Girl with the Dragon Tattoo (2009 film),2009
949,The Great Discovery,2009
950,The Headless Woman (2008 film),2009
951,The Informers (2008 film),2009
952,The International (2009 film),2009
953,The Last House on the Left (2009 film),2009
954,The Maid (2009 film),2009
955,The Marc Pease Experience,2009
956,The Marine 2,2009
957,The Merry Gentleman,2009
958,The Messenger (2009 film),2009
959,The Ministers,2009
960,The Mysteries of Pittsburgh,2009
961,The Objective,2009
962,The Open Road,2009
963,The Other Man (2008 film),2009
964,The Other Woman (2009 film),2009
965,The Proposal (2009 film),2009
966,The Road (2009 film),2009
967,The Russia House,2009
968,The Secrets of Jonathan Sperry,2009
969,The September Issue,2009
970,The Skeptic,2009
971,The Song of Sparrows,2009
972,The Stepfather (2009 film),2009
973,The Taking of Pelham 123 (2009 film),2009
974,The Unborn (2009 film),2009
975,The Uninvited (2009 film),2009
976,The Wizard of Oz (1939 film),2009
977,The Yes Men Fix the World,2009
978,Thirst (2009 film),2009
979,Tormented (2009 British film),2009
980,Transylmania,2009
981,Treeless Mountain,2009
982,Triangle (2009 British film),2009
983,Trucker,2009
984,Two Lovers (2008 film),2009
985,Tyson (2008 film),2009
986,Uncertainty,2009
987,Unmistaken Child,2009
988,Until the Light Takes Us,2009
989,Up (2009 film),2009
990,Up in the Air (2009 film),2009
991,Valentino: The Last Emperor,2009
992,Virginia Creepers,2009
993,Walt & El Grupo,2009
994,We Live in Public,2009
995,We're Back! A Dinosaur's Story,2009
996,What Goes Up,2009
997,What's Your Raashee?,2009
998,White on Rice,2009
999,Whiteout (2009 film),2009
1000,WordWorld,2009
1001,X Games 3D: The Movie,2009
1002,12th & Delaware,2010
1003,4.3.2.1,2010
1004,45365,2010
1005,8: The Mormon Proposition,2010
1006,A Film Unfinished,2010
1007,A Nightmare on Elm Street (2010 film),2010
1008,Ajami,2010
1009,Alexandre Desplat,2010
1010,Alice in Wonderland (2010 film),2010
1011,Atticus Ross,2010
1012,Avatar (2009 film),2010
1013,Babies,2010
1014,Barbie in A Mermaid Tale,2010
1015,Barbie: A Fashion Fairytale,2010
1016,Behind the Burly Q,2010
1017,Boogie Woogie,2010
1018,Break Ke Baad,2010
1019,Breath Made Visible,2010
1020,Brotherhood (2009 film),2010
1021,Burlesque (2010 American film),2010
1022,Care Bears,2010
1023,Care Bears: Share Bear Shines,2010
1024,Carlos (miniseries),2010
1025,Casino Jack and the United States of Money,2010
1026,Catfish,2010
1027,Celine: Through the Eyes of the World,2010
1028,Children of Invention,2010
1029,Cinderella (1950 film),2010
1030,Clash of the Titans (2010 film),2010
1031,Conviction (2010 film),2010
1032,Cop Out (2010 film),2010
1033,Countdown to Zero,2010
1034,Crayon,2010
1035,Crazy on the Outside,2010
1036,Creation (2009 film),2010
1037,Curious George: A Very Monkey Christmas,2010
1038,Curse of the Crimson Altar,2010
1039,Cyrus (2010 comedy-drama film),2010
1040,Daddy Longlegs (2009 film),2010
1041,Dear John (2010 film),2010
1042,Death at a Funeral (2010 film),2010
1043,Devil (2010 film),2010
1044,Dinosaur Train,2010
1045,Don McKay,2010
1046,Dragon Tales,2010
1047,Easier with Practice,2010
1048,Edge of Darkness (2010 film),2010
1049,Exit Through the Gift Shop,2010
1050,Eyes Wide Open (2009 film),2010
1051,Factory Girl (2006 film),2010
1052,Fair Game (2010 film),2010
1053,Farewell (2009 film),2010
1054,Faster (2010 film),2010
1055,Father of My Children,2010
1056,Finding Bliss,2010
1057,Flipped (2010 film),2010
1058,Formosa Betrayed,2010
1059,Fred: The Movie,2010
1060,Frozen (2010 American film),2010
1061,Garbage Dreams,2010
1062,Going the Distance (2010 film),2010
1063,Gone with the Pope,2010
1064,Great Directors,2010
1065,Gulliver's Travels (2010 film),2010
1066,Guy and Madeline on a Park Bench,2010
1067,Happy Tears,2010
1068,Harry Potter and the Deathly Hallows – Part 1,2010
1069,Here and There,2010
1070,Holy Rollers,2010
1071,Home Alone 2: Lost in New York,2010
1072,House of Evil,2010
1073,House of Numbers: Anatomy of an Epidemic,2010
1074,Hubble,2010
1075,"Hugh Hefner: Playboy, Activist and Rebel",2010
1076,I Am Love,2010
1077,I Spit on Your Grave (2010 film),2010
1078,"I Was Born, But...",2010
1079,Inside Job (2010 film),2010
1080,It's a Wonderful Afterlife,2010
1081,Jack Goes Boating,2010
1082,Jackass 3D,2010
1083,Joan Rivers: A Piece of Work,2010
1084,John Rabe,2010
1085,Killers (2010 film),2010
1086,Kimjongilia,2010
1087,Kisses,2010
1088,Kites: The Remix,2010
1089,La Mission,2010
1090,La Soga,2010
1091,Last Day of Summer,2010
1092,Le Amiche,2010
1093,Leap Year (2010 film),2010
1094,Lebanon (2009 film),2010
1095,Legion (2010 film),2010
1096,Letters to God,2010
1097,Like Dandelion Dust,2010
1098,Living in Emergency,2010
1099,Looking for Eric,2010
1100,Lottery Ticket (2010 film),2010
1101,Machete (2010 film),2010
1102,Make-out with Violence,2010
1103,Mao's Last Dancer,2010
1104,Mesrine (2008 film),2010
1105,Metropia,2010
1106,Micmacs,2010
1107,Monsters (2010 film),2010
1108,Morning Glory (2010 film),2010
1109,Mother and Child (2009 film),2010
1110,Mugabe and the White African,2010
1111,Multiple Sarcasms,2010
1112,Nanny McPhee and the Big Bang,2010
1113,Neshoba,2010
1114,Never Let Me Go (2010 film),2010
1115,Night Catches Us,2010
1116,Norwegian Wood,2010
1117,OSS 117: Lost in Rio,2010
1118,Oceans,2010
1119,Only When I Dance,2010
1120,Os Normais,2010
1121,Paper Man (2009 film),2010
1122,"Patrik, Age 1.5",2010
1123,Peepli Live,2010
1124,Perrier's Bounty,2010
1125,Preacher's Kid,2010
1126,Princess Kaiulani,2010
1127,Pyaar Impossible!,2010
1128,REC 2,2010
1129,Raajneeti,2010
1130,Raavan,2010
1131,Racing Dreams,2010
1132,Red (2010 film),2010
1133,Remember Me (2010 film),2010
1134,Restrepo,2010
1135,Robin Hood (2010 film),2010
1136,Rosencrantz and Guildenstern Are Undead,2010
1137,Saint John of Las Vegas,2010
1138,Salt (2010 film),2010
1139,Salt of this Sea,2010
1140,Saw 3D,2010
1141,Shinjuku Incident,2010
1142,Skyline (2010 film),2010
1143,Sleeping with Charlie Kaufman,2010
1144,Smash His Camera,2010
1145,Soundtrack for a Revolution,2010
1146,South of the Border (2009 film),2010
1147,Spoken Word,2010
1148,Spookley the Square Pumpkin,2010
1149,Spring Fever (2009 film),2010
1150,Standing Ovation,2010
1151,Stolen (2009 drama film),2010
1152,Stone (2010 film),2010
1153,Stonewall Uprising,2010
1154,Stranger Things,2010
1155,Strawberry Shortcake,2010
1156,Super Why!,2010
1157,Sweetgrass,2010
1158,Tarka the Otter,2010
1159,Terribly Happy,2010
1160,The 7 Adventures of Sinbad,2010
1161,The American (2010 film),2010
1162,The Army of Crime,2010
1163,The Art of the Steal (2009 film),2010
1164,The Black Waters of Echo's Pond,2010
1165,The Bounty Hunter (2010 film),2010
1166,The City of Your Final Destination,2010
1167,The Crazies (2010 film),2010
1168,The Dry Land,2010
1169,The Expendables (2010 film),2010
1170,The Extra Man,2010
1171,The Girl Who Kicked the Hornets' Nest,2010
1172,The Girl on the Train (2009 film),2010
1173,The Girl with the Dragon Tattoo (2009 film),2010
1174,The Good Heart,2010
1175,The Greatest (2009 film),2010
1176,The Illusionist (2010 film),2010
1177,The Infidel (2010 film),2010
1178,The Karate Kid (2010 film),2010
1179,The Killer Inside Me (2010 film),2010
1180,The Killing Jar,2010
1181,The Lightkeepers,2010
1182,The Lottery (2010 film),2010
1183,The Milk of Sorrow,2010
1184,The Oath (2010 film),2010
1185,The People I've Slept With,2010
1186,The Red Baron (2008 film),2010
1187,The Sorcerer's Apprentice (2010 film),2010
1188,The Switch (2010 film),2010
1189,The Tempest (2010 film),2010
1190,The Thomas Crown Affair (1999 film),2010
1191,The Tillman Story,2010
1192,The Tourist (2010 film),2010
1193,The Town (2010 film),2010
1194,The Trotsky,2010
1195,The Virginity Hit,2010
1196,The Wildest Dream,2010
1197,The Wizard of Oz (1939 film),2010
1198,The Wolfman (2010 film),2010
1199,The Yellow Handkerchief (2008 film),2010
1200,Tooth Fairy (2010 film),2010
1201,Touching Home,2010
1202,Tron: Legacy,2010
1203,True Grit (2010 film),2010
1204,Twelve (2010 film),2010
1205,Unstoppable (2010 film),2010
1206,Valentine's Day (2010 film),2010
1207,Videocracy,2010
1208,Waiting for Armageddon,2010
1209,Waking Sleeping Beauty,2010
1210,What If... (2010 film),2010
1211,What's the Matter with Kansas?,2010
1212,When You're Strange,2010
1213,When in Rome (2010 film),2010
1214,Wild Grass,2010
1215,Winnebago Man,2010
1216,Wonderful World (2009 film),2010
1217,3D Sex and Zen: Extreme Ecstasy,2011
1218,50/50 (2011 film),2011
1219,Abduction (2011 film),2011
1220,African Cats,2011
1221,Anonymous (2011 film),2011
1222,Arthur (2011 film),2011
1223,Battle: Los Angeles,2011
1224,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",2011
1225,Bellflower,2011
1226,Beneath the Darkness,2011
1227,Bol,2011
1228,Bridesmaids (2011 film),2011
1229,Buck,2011
1230,Bullseye! (1990 film),2011
1231,Carancho,2011
1232,Carbon Nation,2011
1233,Carnage (2011 film),2011
1234,Carry On Behind,2011
1235,Cold Weather,2011
1236,Collaborator,2011
1237,Comic-Con Episode IV: A Fan's Hope,2011
1238,Conan the Barbarian (2011 film),2011
1239,Contagion (2011 film),2011
1240,"Crazy, Stupid, Love",2011
1241,Damsels in Distress,2011
1242,Departures (2011 film),2011
1243,Diana Vreeland: The Eye Has to Travel,2011
1244,Dimensions (2011 film),2011
1245,Dragonslayer (1981 film),2011
1246,Dream House (2011 film),2011
1247,Drive (2011 film),2011
1248,Extremely Loud and Incredibly Close,2011
1249,Fightville,2011
1250,First Position,2011
1251,Flypaper (2011 film),2011
1252,Footloose (2011 film),2011
1253,Footnote,2011
1254,Fright Night (2011 film),2011
1255,Fullmetal Alchemist: The Sacred Star of Milos,2011
1256,George Harrison: Living in the Material World,2011
1257,Glee: The 3D Concert Movie,2011
1258,Harry Potter and the Deathly Hallows – Part 2,2011
1259,Haywire (2011 film),2011
1260,Headhunters,2011
1261,Heleno,2011
1262,"If I Want to Whistle, I Whistle",2011
1263,Immortals (2011 film),2011
1264,Jack and Jill (2011 film),2011
1265,Jane Eyre (2011 film),2011
1266,Jiro Dreams of Sushi,2011
1267,Judy Moody and the Not Bummer Summer,2011
1268,Justin Bieber: Never Say Never,2011
1269,Kumaré,2011
1270,Like Crazy (2011 film),2011
1271,Margaret (2011 film),2011
1272,Melancholia (2011 film),2011
1273,Miss Bala (2011 film),2011
1274,Mission: Impossible – Ghost Protocol,2011
1275,Monsieur Lazhar,2011
1276,Monte Carlo (2011 film),2011
1277,Mooz-lum,2011
1278,Neil Young Journeys,2011
1279,New Year's Eve (2011 film),2011
1280,October Baby,2011
1281,Once Upon a Time in Anatolia,2011
1282,One Day (2011 film),2011
1283,"Oslo, August 31st",2011
1284,POM Wonderful Presents: The Greatest Movie Ever Sold,2011
1285,Pariah (2011 film),2011
1286,Pennies from Heaven (1936 film),2011
1287,Phil Ochs: There but for Fortune,2011
1288,Priest (2011 film),2011
1289,Project Nim,2011
1290,Puss in Boots (2011 film),2011
1291,Rango (2011 film),2011
1292,Rapt,2011
1293,Red Riding Hood (2011 film),2011
1294,Restless (2011 film),2011
1295,Restrepo,2011
1296,Rio (2011 film),2011
1297,Season of the Witch (2011 film),2011
1298,Septien,2011
1299,Seven Days in Utopia,2011
1300,Shame (2011 film),2011
1301,Shark Night,2011
1302,Spy Kids: All the Time in the World,2011
1303,Straw Dogs (2011 film),2011
1304,Sucker Punch (2011 film),2011
1305,Super 8 (2011 film),2011
1306,Surviving Progress,2011
1307,The Ambassador (2011 film),2011
1308,The Divide (2011 film),2011
1309,The Eagle (2011 film),2011
1310,The Girl with the Dragon Tattoo (2011 film),2011
1311,The Green Hornet (2011 film),2011
1312,The Guard (2011 film),2011
1313,The Human Centipede 2 (Full Sequence),2011
1314,The Ides of March (2011 film),2011
1315,The Incredible Invasion,2011
1316,The Lion King,2011
1317,The Lion of Judah,2011
1318,The Mechanic (2011 film),2011
1319,The Oranges,2011
1320,The Other Woman (2009 film),2011
1321,The Raid (2011 film),2011
1322,The Rite (2011 film),2011
1323,The Skin I Live In,2011
1324,The Thing (2011 film),2011
1325,The Three Musketeers (2011 film),2011
1326,The Time That Remains,2011
1327,The Twilight Saga: Breaking Dawn – Part 1,2011
1328,The Way (2010 film),2011
1329,The Woman in the Fifth,2011
1330,This Is Not a Film,2011
1331,Union Square,2011
1332,Unknown (2011 film),2011
1333,Unleashed (2005 film),2011
1334,Warrior (2011 film),2011
1335,We Have a Pope,2011
1336,Where Do We Go Now?,2011
1337,Winnie Mandela,2011
1338,Winnie the Pooh (2011 film),2011
1339,X-Men: First Class,2011
1340,2 Days in New York,2012
1341,"3,2,1... Frankie Go Boom",2012
1342,5 Broken Cameras,2012
1343,A Late Quartet,2012
1344,A Liar's Autobiography,2012
1345,Ai Weiwei: Never Sorry,2012
1346,Amador,2012
1347,Amour (2012 film),2012
1348,Anna Karenina (2012 film),2012
1349,Bad Kids Go to Hell,2012
1350,Beneath the Darkness,2012
1351,Bounty (1960 ship),2012
1352,Casa de Mi Padre,2012
1353,Celeste and Jesse Forever,2012
1354,Chasing Ice,2012
1355,Cheerful Weather for the Wedding,2012
1356,Collaborator,2012
1357,Comic-Con Episode IV: A Fan's Hope,2012
1358,Crooked Arrows,2012
1359,Cry Freedom,2012
1360,Damsels in Distress,2012
1361,Deadfall (2012 film),2012
1362,Declaration of War,2012
1363,Detropia,2012
1364,Dino Time,2012
1365,Don't Go in the Woods (2010 film),2012
1366,Ek Tha Tiger,2012
1367,Entrance,2012
1368,Exit Strategy,2012
1369,First Position,2012
1370,Footnote,2012
1371,Fullmetal Alchemist: The Sacred Star of Milos,2012
1372,Fury (2012 film),2012
1373,Head Games,2012
1374,Headhunters,2012
1375,Heleno,2012
1376,Hysteria (2011 film),2012
1377,James Bond in film,2012
1378,Jesus Henry Christ,2012
1379,Jiro Dreams of Sushi,2012
1380,John Williams,2012
1381,Keyhole,2012
1382,Kumaré,2012
1383,Last Ride,2012
1384,Les Misérables (2012 film),2012
1385,Lovely Molly,2012
1386,"Lula, Son of Brazil",2012
1387,Mansome,2012
1388,Marley,2012
1389,Monsieur Lazhar,2012
1390,Mychael Danna,2012
1391,Nativity 2: Danger in the Manger,2012
1392,Nobody Walks,2012
1393,Norwegian Wood,2012
1394,"Oslo, August 31st",2012
1395,Payback (2012 film),2012
1396,Polisse,2012
1397,Promised Land (2012 film),2012
1398,Pusher (2012 film),2012
1399,Quartet (2012 film),2012
1400,Raaz 3D,2012
1401,Searching for Sugar Man,2012
1402,Shut Up and Play the Hits,2012
1403,Sing Your Song,2012
1404,Stolen (2012 film),2012
1405,Tabu (2012 film),2012
1406,Talaash: The Answer Lies Within,2012
1407,The Adventures of Barry McKenzie,2012
1408,The Amazing Spider-Man (2012 film),2012
1409,The Avengers (2012 film),2012
1410,The Divide (2011 film),2012
1411,The Fitzgerald Family Christmas,2012
1412,The Flowers of War,2012
1413,The Impossible (2012 film),2012
1414,The Imposter (2012 film),2012
1415,The Invisible War,2012
1416,The Master (2012 film),2012
1417,The Oranges,2012
1418,The Paperboy (2012 film),2012
1419,The Queen of Versailles,2012
1420,The Raid (2011 film),2012
1421,The Twilight Saga: Breaking Dawn – Part 2,2012
1422,The Waiting Room (2012 film),2012
1423,The Wicker Tree,2012
1424,The Woman in the Fifth,2012
1425,This Is Not a Film,2012
1426,Thomas Newman,2012
1427,Under African Skies,2012
1428,Unforgivable (2011 film),2012
1429,Virginia (2010 film),2012
1430,We Have a Pope,2012
1431,West of Memphis,2012
1432,Where Do We Go Now?,2012
1433,100 Bloody Acres,2013
1434,47 Ronin (2013 film),2013
1435,A Dark Truth,2013
1436,A Glimpse Inside the Mind of Charles Swan III,2013
1437,A Madea Christmas,2013
1438,Aftershock (2012 film),2013
1439,As Luck Would Have It (2011 film),2013
1440,Attarintiki Daredi,2013
1441,Aurangzeb,2013
1442,Baadshah (2013 film),2013
1443,Baggage Claim,2013
1444,Bastards (2013 film),2013
1445,Battle of the Year,2013
1446,Beautiful Creatures (2013 film),2013
1447,Bhaag Milkha Bhaag,2013
1448,Black Rock (2012 film),2013
1449,"Bless Me, Ultima",2013
1450,Blue Is the Warmest Colour,2013
1451,Bombay Talkies,2013
1452,Carrie (2013 film),2013
1453,Chennai Express,2013
1454,Closed Circuit (2013 film),2013
1455,Commitment,2013
1456,Copperhead (2013 film),2013
1457,Crave,2013
1458,Crawlspace (2012 film),2013
1459,D-Day (2013 film),2013
1460,Dealin' with Idiots,2013
1461,Disconnect (2012 film),2013
1462,Dragon Ball Z: Battle of Gods,2013
1463,Epic (2013 film),2013
1464,Evil Dead (2013 film),2013
1465,Fast & Furious 6,2013
1466,Fists of Legend,2013
1467,Free Birds,2013
1468,Freeloaders,2013
1469,Frozen (2013 film),2013
1470,Fukrey,2013
1471,Goddess (2013 film),2013
1472,Grace Unplugged,2013
1473,Gravity (2013 film),2013
1474,Greetings from Tim Buckley,2013
1475,Hammer of the Gods (2013 film),2013
1476,Happy People: A Year in the Taiga,2013
1477,He's Way More Famous Than You,2013
1478,Hello Herman,2013
1479,Himmatwala (2013 film),2013
1480,Home Run,2013
1481,How to Make Money Selling Drugs,2013
1482,Hummingbird,2013
1483,I'm So Excited,2013
1484,I'm in Love with a Church Girl,2013
1485,"I, Me Aur Main",2013
1486,Inappropriate Comedy,2013
1487,Iron Man 3,2013
1488,It's a Disaster,2013
1489,Jackass Presents: Bad Grandpa,2013
1490,Java Heat,2013
1491,Journey to the West: Conquering the Demons,2013
1492,Jurassic Park,2013
1493,Kai Po Che!,2013
1494,Kevin Hart: Let Me Explain,2013
1495,Knife Fight,2013
1496,LUV,2013
1497,Liberators: Fighting on Two Fronts in World War II,2013
1498,Lootera,2013
1499,Love and Honor (2013 film),2013
1500,Mama (2013 film),2013
1501,Matru Ki Bijlee Ka Mandola,2013
1502,Metallica Through the Never,2013
1503,Much Ado About Nothing (2012 film),2013
1504,Mud (2012 film),2013
1505,Murder 3,2013
1506,My Little Pony: Equestria Girls,2013
1507,Oblivion (2013 film),2013
1508,Oldboy (2013 film),2013
1509,One Direction: This Is Us,2013
1510,Paranoia (2013 film),2013
1511,Parker (2013 film),2013
1512,Peeples,2013
1513,Phantom (2013 film),2013
1514,Pokémon the Movie: Genesect and the Legend Awakened,2013
1515,Prisoners (2013 film),2013
1516,Race 2,2013
1517,Ramayya Vasthavayya,2013
1518,Red 2,2013
1519,Romeo & Juliet (2013 film),2013
1520,Rush (2013 film),2013
1521,Scenic Route,2013
1522,Settai,2013
1523,Shootout at Wadala,2013
